ID_PRODUTO,DATA_EVENTO,PRECO,QUANTIDADE_ESTOQUE
21,2024-01-12,14.57,60
22,2024-01-12,10.25,53
23,2024-01-12,13.39,38
24,2024-01-12,14.51,36
25,2024-01-12,13.61,18
1,2024-01-13,13.37,10
2,2024-01-13,13.35,9
3,2024-01-13,12.83,100
4,2024-01-13,11.78,89
5,2024-01-13,10.4,77
6,2024-01-13,11.55,62
7,2024-01-13,11.82,50
8,2024-01-13,10.99,48
9,2024-01-13,10.52,43
10,2024-01-13,14.16,24
11,2024-01-13,10.18,16
12,2024-01-13,13.4,2
13,2024-01-13,13.32,100
14,2024-01-13,11.0,90
15,2024-01-13,14.9,78
16,2024-01-13,14.31,61
17,2024-01-13,11.78,52
18,2024-01-13,13.37,35
19,2024-01-13,14.55,27
20,2024-01-13,12.21,24
21,2024-01-13,10.51,7
22,2024-01-13,12.51,3
23,2024-01-13,12.62,100
24,2024-01-13,12.21,84
25,2024-01-13,11.95,75
1,2024-01-14,13.75,71
2,2024-01-14,14.13,56
3,2024-01-14,10.49,55
4,2024-01-14,14.52,52
5,2024-01-14,11.05,51
6,2024-01-14,12.9,46
7,2024-01-14,11.96,33
8,2024-01-14,11.46,27
9,2024-01-14,10.14,15
10,2024-01-14,10.53,100
11,2024-01-14,11.26,83
12,2024-01-14,13.15,81
13,2024-01-14,13.58,77
14,2024-01-14,10.35,75
15,2024-01-14,14.26,72
16,2024-01-14,14.9,62
17,2024-01-14,14.4,43
18,2024-01-14,13.55,37
19,2024-01-14,12.91,22
20,2024-01-14,13.45,9
21,2024-01-14,13.17,100
22,2024-01-14,14.8,95
23,2024-01-14,11.66,94
24,2024-01-14,10.78,80
25,2024-01-14,10.73,70
1,2024-01-15,10.34,63
2,2024-01-15,13.26,49
3,2024-01-15,13.19,33
4,2024-01-15,13.91,28
5,2024-01-15,12.53,19
6,2024-01-15,12.09,2
7,2024-01-15,11.14,100
8,2024-01-15,11.14,88
9,2024-01-15,10.03,79
10,2024-01-15,14.52,67
11,2024-01-15,13.8,62
12,2024-01-15,14.67,52
13,2024-01-15,13.01,34
14,2024-01-15,13.41,33
15,2024-01-15,12.15,14
16,2024-01-15,12.78,2
17,2024-01-15,12.17,100
18,2024-01-15,12.97,81
19,2024-01-15,10.59,75
20,2024-01-15,14.14,65
21,2024-01-15,14.55,48
22,2024-01-15,12.9,39
23,2024-01-15,10.51,31
24,2024-01-15,11.65,22
25,2024-01-15,12.3,6
1,2024-01-16,14.58,5
2,2024-01-16,10.47,3
3,2024-01-16,13.41,100
4,2024-01-16,10.92,82
5,2024-01-16,13.72,73
6,2024-01-16,10.04,56
7,2024-01-16,10.65,41
8,2024-01-16,14.12,28
9,2024-01-16,11.08,24
10,2024-01-16,10.95,5
11,2024-01-16,13.3,100
12,2024-01-16,10.13,92
13,2024-01-16,12.36,73
14,2024-01-16,12.75,70
15,2024-01-16,12.98,60
16,2024-01-16,11.19,52
17,2024-01-16,13.45,35
18,2024-01-16,14.7,20
19,2024-01-16,11.77,1
20,2024-01-16,11.7,100
21,2024-01-16,10.97,85
22,2024-01-16,13.22,83
23,2024-01-16,10.21,69
24,2024-01-16,11.09,58
25,2024-01-16,11.96,44
1,2024-01-17,11.58,35
2,2024-01-17,10.07,33
3,2024-01-17,13.97,15
4,2024-01-17,14.23,8
5,2024-01-17,11.67,100
6,2024-01-17,11.79,93
7,2024-01-17,14.17,78
8,2024-01-17,12.05,61
9,2024-01-17,13.33,49
10,2024-01-17,14.82,37
11,2024-01-17,13.71,18
12,2024-01-17,12.71,15
13,2024-01-17,13.34,9
14,2024-01-17,12.05,100
15,2024-01-17,10.38,92
16,2024-01-17,14.67,81
17,2024-01-17,13.73,76
18,2024-01-17,13.19,60
19,2024-01-17,10.99,46
20,2024-01-17,10.73,28
21,2024-01-17,10.24,16
22,2024-01-17,14.03,8
23,2024-01-17,10.42,100
24,2024-01-17,12.52,82
25,2024-01-17,12.01,76
1,2024-01-18,11.77,63
2,2024-01-18,10.98,55
3,2024-01-18,14.07,46
4,2024-01-18,11.85,45
5,2024-01-18,10.02,38
6,2024-01-18,13.42,36
7,2024-01-18,12.27,30
8,2024-01-18,11.44,19
9,2024-01-18,12.88,10
10,2024-01-18,14.16,100
11,2024-01-18,11.24,81
12,2024-01-18,13.55,63
13,2024-01-18,11.67,54
14,2024-01-18,13.27,37
15,2024-01-18,12.56,32
16,2024-01-18,14.01,26
17,2024-01-18,14.52,16
18,2024-01-18,11.1,10
19,2024-01-18,14.29,100
20,2024-01-18,13.98,83
21,2024-01-18,10.05,73
22,2024-01-18,13.39,61
23,2024-01-18,12.64,60
24,2024-01-18,14.62,51
25,2024-01-18,10.99,49
1,2024-01-19,14.37,45
2,2024-01-19,11.59,26
3,2024-01-19,14.51,22
4,2024-01-19,13.52,14
5,2024-01-19,11.04,13
6,2024-01-19,13.79,8
7,2024-01-19,14.45,100
8,2024-01-19,11.26,87
9,2024-01-19,12.5,78
10,2024-01-19,12.99,61
11,2024-01-19,10.32,53
12,2024-01-19,10.39,50
13,2024-01-19,14.32,40
14,2024-01-19,14.41,37
15,2024-01-19,13.8,30
16,2024-01-19,10.07,23
17,2024-01-19,12.88,17
18,2024-01-19,11.53,15
19,2024-01-19,10.52,100
20,2024-01-19,10.68,99
21,2024-01-19,13.88,83
22,2024-01-19,13.13,82
23,2024-01-19,14.3,68
24,2024-01-19,13.54,49
